date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo,elo_diff,home_forma,away_forma,equipo_a,equipo_b,h2h_victorias_a,h2h_victorias_b
2026-06-28,South Africa,Canada,,,FIFA World Cup,TBD,TBD,False,,1802.0,-260.0,5.0,9.0,Canada,South Africa,0.0,0.0
2026-06-29,Germany,Paraguay,,,FIFA World Cup,TBD,TBD,True,1910.0,1833.0,77.0,15.0,9.0,Germany,Paraguay,1.0,0.0
2026-06-29,Netherlands,Morocco,,,FIFA World Cup,TBD,TBD,True,1959.0,1830.0,129.0,8.0,11.0,Morocco,Netherlands,1.0,1.0
2026-06-29,Brazil,Japan,,,FIFA World Cup,TBD,TBD,True,1979.0,1878.0,101.0,13.0,13.0,Brazil,Japan,11.0,0.0
2026-06-30,Mexico,Ecuador,,,FIFA World Cup,TBD,TBD,False,1835.0,1933.0,-98.0,15.0,8.0,Ecuador,Mexico,4.0,14.0
2026-06-30,France,Sweden,,,FIFA World Cup,TBD,TBD,True,2062.0,1660.0,402.0,12.0,7.0,France,Sweden,11.0,6.0
2026-06-30,Ivory Coast,Norway,,,FIFA World Cup,TBD,TBD,True,,1922.0,-236.0,12.0,11.0,Ivory Coast,Norway,0.0,0.0
2026-07-01,United States,Bosnia and Herzegovina,,,FIFA World Cup,TBD,TBD,False,,,127.0,9.0,4.0,Bosnia and Herzegovina,United States,0.0,1.0
2026-07-01,Belgium,Senegal,,,FIFA World Cup,TBD,TBD,True,1849.0,1803.0,46.0,9.0,4.0,Belgium,Senegal,0.0,0.0
2026-07-01,England,DR Congo,,,FIFA World Cup,TBD,TBD,True,2042.0,,365.0,10.0,5.0,DR Congo,England,0.0,0.0
2026-07-02,Portugal,Croatia,,,FIFA World Cup,TBD,TBD,True,1976.0,1933.0,43.0,13.0,6.0,Croatia,Portugal,1.0,7.0
2026-07-02,Spain,Austria,,,FIFA World Cup,TBD,TBD,True,2171.0,1818.0,353.0,9.0,12.0,Austria,Spain,4.0,8.0
2026-07-03,Australia,Egypt,,,FIFA World Cup,TBD,TBD,True,1774.0,1591.0,183.0,7.0,8.0,Australia,Egypt,0.0,0.0
2026-07-03,Switzerland,Algeria,,,FIFA World Cup,TBD,TBD,True,1897.0,1726.0,171.0,9.0,10.0,Algeria,Switzerland,0.0,1.0
2026-07-03,Argentina,Cape Verde,,,FIFA World Cup,TBD,TBD,True,2113.0,,564.0,15.0,6.0,Argentina,Cape Verde,0.0,0.0
2026-07-03,Colombia,Ghana,,,FIFA World Cup,TBD,TBD,True,1998.0,1509.0,489.0,12.0,5.0,Colombia,Ghana,0.0,0.0
