date,home_team,away_team,home_score,away_score,resultado
2026-06-28,South Africa,Canada,0,1,away_win
2026-06-29,Germany,Paraguay,1,1,draw
2026-06-29,Netherlands,Morocco,1,1,draw
2026-06-29,Brazil,Japan,2,1,home_win
2026-06-30,France,Sweden,3,0,home_win
2026-06-30,Ivory Coast,Norway,1,2,away_win
2026-06-30,Mexico,Ecuador,2,0,home_win
2026-07-01,United States,Bosnia and Herzegovina,2,0,home_win
2026-07-01,Belgium,Senegal,3,2,home_win
2026-07-01,England,DR Congo,2,1,home_win
2026-07-02,Portugal,Croatia,2,1,home_win
2026-07-02,Spain,Austria,3,0,home_win
2026-07-03,Switzerland,Algeria,2,0,home_win
2026-07-03,Argentina,Cape Verde,3,2,home_win
2026-07-03,Colombia,Ghana,1,0,home_win
2026-07-03,Australia,Egypt,1,1,draw
