date,home_team,away_team,pred_logistica,pred_rf
2026-06-28,South Africa,Canada,away_win,away_win
2026-06-29,Germany,Paraguay,home_win,home_win
2026-06-29,Netherlands,Morocco,away_win,draw
2026-06-29,Brazil,Japan,home_win,draw
2026-06-30,Mexico,Ecuador,home_win,home_win
2026-06-30,France,Sweden,home_win,home_win
2026-06-30,Ivory Coast,Norway,away_win,away_win
2026-07-01,United States,Bosnia and Herzegovina,home_win,home_win
2026-07-01,Belgium,Senegal,home_win,home_win
2026-07-01,England,DR Congo,home_win,home_win
2026-07-02,Portugal,Croatia,home_win,home_win
2026-07-02,Spain,Austria,away_win,home_win
2026-07-03,Australia,Egypt,home_win,draw
2026-07-03,Switzerland,Algeria,home_win,home_win
2026-07-03,Argentina,Cape Verde,home_win,home_win
2026-07-03,Colombia,Ghana,home_win,home_win
